sku,name,category,skin_types,concerns,description,price,currency,image_url
PROD_001,ClearPore Foam Cleanser,cleanser,"oily,combination","acne,pores,oiliness",Deep cleansing foam that removes excess oil and unclogs pores,24.99,USD,
PROD_002,Gentle Hydra Cleanser,cleanser,"dry,normal,sensitive","dryness",Creamy hydrating cleanser that won't strip moisture,19.99,USD,
PROD_003,Balancing Toner,toner,"oily,combination,normal","pores,oiliness",Alcohol-free toner that minimizes pores and balances pH,15.99,USD,
PROD_004,Hydrating Rose Toner,toner,"dry,sensitive","dryness,redness",Soothing rose water toner with hyaluronic acid,18.99,USD,
PROD_005,Niacinamide 10% Serum,serum,"oily,combination","pores,acne,oiliness,pigmentation",Concentrated niacinamide serum for pore refinement and oil control,29.99,USD,
PROD_006,Vitamin C Brightening Serum,serum,"all","pigmentation,dryness",15% Vitamin C serum for brightening and antioxidant protection,34.99,USD,
PROD_007,Retinol 0.5% Treatment,treatment,"normal,combination","wrinkles,acne,pigmentation",Gentle retinol treatment for anti-aging and skin renewal,39.99,USD,
PROD_008,Salicylic Acid Spot Treatment,treatment,"oily,combination","acne,pores",Targeted spot treatment with 2% salicylic acid,14.99,USD,
PROD_009,Oil-Free Gel Moisturizer,moisturizer,"oily,combination","oiliness,acne",Lightweight gel moisturizer that hydrates without greasiness,22.99,USD,
PROD_010,Rich Repair Cream,moisturizer,"dry,sensitive","dryness,redness",Intensive moisturizing cream with ceramides and shea butter,27.99,USD,
PROD_011,Daily UV Shield SPF50,sunscreen,"all","pigmentation",Lightweight broad-spectrum SPF50 sunscreen for daily use,21.99,USD,
PROD_012,Mattifying Sunscreen SPF30,sunscreen,"oily,combination","oiliness",Oil-free mattifying sunscreen with SPF30,19.99,USD,
PROD_013,Calming Clay Mask,mask,"oily,combination","pores,oiliness,acne",Purifying clay mask with kaolin and green tea,16.99,USD,
PROD_014,Hydrating Sheet Mask,mask,"dry,normal,sensitive","dryness,redness",Intensive hydration sheet mask with aloe and hyaluronic acid,4.99,USD,
